Pairs: 0 1	friends: 
Pairs: 0 10	friends: 
Pairs: 0 5	friends: 
Pairs: 1 1935	friends: 
Pairs: 1 2	friends: 23 464
Pairs: 1 2022	friends: 
Pairs: 1 23	friends: 2
Pairs: 1 351	friends: 352 882
Pairs: 1 352	friends: 351
Pairs: 1 464	friends: 2 718
Pairs: 1 718	friends: 464
Pairs: 1 882	friends: 351
Pairs: 1 894	friends: 
Pairs: 1 92	friends: 
Pairs: 10 1138	friends: 17 18 281 261 273 141 242 136 224 137 445 798 128 83 85
Pairs: 10 115	friends: 59 453 279 136 224 137 128 9 60 408 30 85 31
Pairs: 10 128	friends: 59 17 18 1581 281 261 273 141 242 453 1138 136 279 224 115 137 445 9 60 83 408 30 85 31
Pairs: 10 136	friends: 1581 273 453 1138 279 115 137 798 30 31 59 17 18 281 261 141 242 224 445 128 9 60 83 408 85
Pairs: 10 137	friends: 1581 273 453 1138 136 279 115 798 30 31 59 17 18 281 261 141 242 224 445 128 9 60 83 408 85
Pairs: 10 141	friends: 17 18 1581 281 261 273 242 1138 136 224 137 445 128 83 85
Pairs: 10 1581	friends: 273 136 137 18 261 141 242 224 445 128 83
Pairs: 10 17	friends: 18 281 261 273 141 242 1138 136 224 137 445 128 83 85
Pairs: 10 18	friends: 17 1581 281 261 273 141 242 1138 136 224 137 445 798 128 83 30 85
Pairs: 10 224	friends: 1581 273 453 1138 136 279 115 137 798 30 31 59 17 18 281 261 141 242 445 128 9 60 83 408 85
Pairs: 10 2312	friends: 59
Pairs: 10 242	friends: 17 18 1581 281 261 273 141 1138 136 224 137 445 798 128 83
Pairs: 10 261	friends: 17 18 1581 281 273 141 242 1138 136 224 137 445 798 128 83 85
Pairs: 10 273	friends: 17 18 1581 281 261 141 242 1138 136 224 137 445 798 128 83
Pairs: 10 279	friends: 59 453 136 224 115 137 128 9 60 408 30 85 31
Pairs: 10 281	friends: 17 18 261 273 141 242 1138 136 224 137 445 128 83 85
Pairs: 10 30	friends: 59 18 453 136 279 224 115 137 128 9 60 408 85 31
Pairs: 10 31	friends: 59 453 136 279 224 115 137 128 9 60 408 30 85
Pairs: 10 408	friends: 59 453 136 279 224 115 137 128 9 60 30 85 31
Pairs: 10 445	friends: 17 18 1581 281 261 273 141 242 1138 136 224 137 798 128 83
Pairs: 10 453	friends: 59 136 279 224 115 137 128 9 60 408 30 85 31
Pairs: 10 59	friends: 453 136 279 224 115 137 2312 128 9 60 408 30 85 31
Pairs: 10 60	friends: 59 453 136 279 224 115 137 128 9 408 30 85 31
Pairs: 10 798	friends: 242 1138 136 224 137 445 18 83 261 273
Pairs: 10 83	friends: 17 18 1581 281 261 273 141 242 1138 136 224 137 445 798 128
Pairs: 10 85	friends: 59 17 18 281 261 141 1138 453 279 136 224 115 137 128 9 60 408 30 31
Pairs: 100 101	friends: 681
Pairs: 100 1643	friends: 
Pairs: 100 681	friends: 101
Pairs: 1000 1150	friends: 199 200 1775 2214 401 2202 446 2481
Pairs: 1000 1369	friends: 446
Pairs: 1000 1461	friends: 
Pairs: 1000 1694	friends: 552 994 933 401 446
Pairs: 1000 1775	friends: 1150 199 115 401 2202 446
Pairs: 1000 2033	friends: 199 200 2214 446
Pairs: 1000 2202	friends: 199 1775 1150 2481 200 2214 401 446
Pairs: 1000 2214	friends: 2033 199 115 2202 1150 200 446
Pairs: 1000 2242	friends: 
Pairs: 1000 2481	friends: 2202 1150 446
Pairs: 1001 1002	friends: 
Pairs: 1001 1511	friends: 
Pairs: 1001 3490	friends: 
Pairs: 1002 1603	friends: 862 533
Pairs: 1003 1488	friends: 
Pairs: 1006 1250	friends: 1877 221
Pairs: 1006 1658	friends: 221 1777
Pairs: 1006 1777	friends: 221 1658
Pairs: 1006 1877	friends: 221 1250
Pairs: 1007 1044	friends: 310 1157
Pairs: 1007 1157	friends: 310 1044
Pairs: 1008 1400	friends: 5 1762
Pairs: 1008 1478	friends: 
Pairs: 1008 1762	friends: 1400 5
Pairs: 1008 1777	friends: 
Pairs: 1009 1554	friends: 264
Pairs: 1009 2687	friends: 
Pairs: 101 2658	friends: 
Pairs: 101 681	friends: 100
Pairs: 1010 1024	friends: 1427
Pairs: 1010 1427	friends: 1024
Pairs: 1010 1482	friends: 747 748 916
Pairs: 1012 1013	friends: 
Pairs: 1012 1370	friends: 2180 194 3 1401
Pairs: 1012 1401	friends: 3 1370
Pairs: 1012 2180	friends: 1370
Pairs: 1012 3300	friends: 
Pairs: 1014 1015	friends: 
Pairs: 1014 1674	friends: 
Pairs: 1014 2749	friends: 
Pairs: 1017 1615	friends: 
Pairs: 1017 2084	friends: 240 241 4 836
Pairs: 102 1022	friends: 
Pairs: 102 1028	friends: 
Pairs: 102 103	friends: 
Pairs: 102 1273	friends: 
Pairs: 102 130	friends: 297 187 298 431 387 466 897 538 1393 251 938 340
Pairs: 102 1383	friends: 
Pairs: 102 1393	friends: 130 251 298 431 538 938 387 504 1526
Pairs: 102 1526	friends: 1393 387 504
Pairs: 102 1543	friends: 
Pairs: 102 1556	friends: 
Pairs: 102 1601	friends: 
Pairs: 102 1612	friends: 880
Pairs: 102 187	friends: 298 431 466 897 702 538 130 251 938 340
Pairs: 102 2065	friends: 
Pairs: 102 251	friends: 297 187 298 431 387 466 538 1393 130 938
Pairs: 102 297	friends: 298 431 538 130 251 938
Pairs: 102 298	friends: 297 187 431 387 897 538 1393 130 251 938
Pairs: 102 340	friends: 187 431 466 897 538 130 938
Pairs: 102 387	friends: 298 431 538 1393 130 251 938 1526
Pairs: 102 431	friends: 297 187 298 387 538 1393 130 251 938 340
Pairs: 102 466	friends: 187 897 538 130 251 340
Pairs: 102 504	friends: 1393 1526
Pairs: 102 538	friends: 297 187 298 431 387 466 1393 130 251 938 340
Pairs: 102 609	friends: 
Pairs: 102 702	friends: 187 897
Pairs: 102 880	friends: 1612
Pairs: 102 897	friends: 187 298 466 702 130 938 340
Pairs: 102 938	friends: 297 187 298 431 387 897 538 1393 130 251 340
Pairs: 102 980	friends: 
Pairs: 1020 1209	friends: 
Pairs: 1020 2602	friends: 
Pairs: 1020 3487	friends: 
Pairs: 1021 1261	friends: 39
Pairs: 1021 1281	friends: 
Pairs: 1021 2495	friends: 
Pairs: 1022 2332	friends: 
Pairs: 1022 3356	friends: 
Pairs: 1023 1258	friends: 1259 1314
Pairs: 1023 1259	friends: 1314 1258 785
Pairs: 1023 1314	friends: 1259 1258
Pairs: 1024 1025	friends: 
Pairs: 1024 1427	friends: 1010
Pairs: 1026 1077	friends: 880 584 1612 585 1158 1223 744 19 217 218
Pairs: 1026 1158	friends: 880 584 1612 585 744 19 1077 217 218
Pairs: 1026 1223	friends: 880 584 1612 585 744 19 1077 217 218
Pairs: 1026 1612	friends: 19 1077 880 584 585 1158 1223 744 217 218
Pairs: 1026 2596	friends: 
Pairs: 1027 1674	friends: 
Pairs: 1027 1765	friends: 
Pairs: 1027 1797	friends: 
Pairs: 1028 1217	friends: 212 862 381
Pairs: 1028 1639	friends: 381 212 862 823 65
Pairs: 1028 1795	friends: 381 212 862
Pairs: 1029 1030	friends: 
Pairs: 103 104	friends: 288 575 940 537
Pairs: 103 243	friends: 575 537
Pairs: 103 288	friends: 909 575 104 940
Pairs: 103 537	friends: 243 575 104
Pairs: 103 575	friends: 243 288 104 537
Pairs: 103 909	friends: 288 940
Pairs: 103 940	friends: 909 288 104
Pairs: 1030 2720	friends: 
Pairs: 1032 2034	friends: 
Pairs: 1033 1034	friends: 
